GameID,Season,Date,Team,Home/Away,Opp,Outcome,HomeScore,OppScore,TotalScore,ORtg,DRtg,Pace,FTr,3PAr,TS%,TotalReb%,AST%,STL%,BLK%,eFG,TOV%,ORB%,FTperFGA,eFGagainst,TOVagainst,DRB%,FTperFGAallowed
1,2016,10/27/16,ATL,Home,WAS,W,114,99,213,110.2,95.7,103.4,0.205,0.295,0.594,56.5,63.6,12.6,9.5,0.568,18,33.3,0.159,0.457,15.7,76,0.138
2,2016,10/29/16,ATL,Away,PHI,W,104,72,176,103.7,71.8,100.3,0.271,0.235,0.547,54.7,73.8,11,11.3,0.524,11.2,14.6,0.176,0.381,18.8,91.1,0.138
3,2016,10/31/16,ATL,Home,SAC,W,106,95,201,113.1,101.3,93.7,0.595,0.38,0.532,53.1,72.7,11.7,11.5,0.487,11.5,34.7,0.367,0.547,18.6,81.3,0.173
4,2016,11/2/16,ATL,Home,LAL,L,116,123,239,114.2,121.1,101.6,0.341,0.376,0.593,46.8,73.2,9.8,1.5,0.547,15.5,24.4,0.271,0.583,13.2,71.1,0.2
5,2016,11/4/16,ATL,Away,WAS,L,92,95,187,90.1,93,102.1,0.434,0.301,0.465,50.5,68.8,11.7,5,0.416,15.4,22.2,0.277,0.419,16.6,77.1,0.35
6,2016,11/5/16,ATL,Home,HOU,W,112,97,209,110.4,95.7,101.4,0.282,0.235,0.586,50.6,64.4,16.8,12.2,0.576,16.6,29.5,0.165,0.506,22.3,72.1,0.129
7,2016,11/8/16,ATL,Away,CLE,W,110,106,216,112.7,108.6,97.6,0.296,0.358,0.601,56.2,53.7,1,7,0.574,17.2,29.7,0.21,0.429,5.2,75,0.212
8,2016,11/9/16,ATL,Home,CHI,W,115,107,222,114.2,106.3,100.7,0.325,0.241,0.606,60.8,57.1,7.9,10.9,0.56,18.1,36.1,0.265,0.5,11.5,81.4,0.176
9,2016,11/12/16,ATL,Home,PHI,W,117,96,213,117.7,96.6,99.4,0.147,0.337,0.578,57.1,64.6,10.1,11.1,0.574,13.7,34.1,0.084,0.5,17.1,78.7,0.157
10,2016,11/15/16,ATL,Away,MIA,W,93,90,183,95,91.9,97.9,0.238,0.213,0.526,42.2,48.6,14.3,6.1,0.5,17.7,16.2,0.163,0.444,19.5,63,0.124
11,2016,11/16/16,ATL,Home,MIL,W,107,100,207,108.3,101.2,98.8,0.431,0.444,0.625,45.3,82.9,6.1,12.1,0.556,15.7,8.6,0.375,0.439,11.7,70.6,0.143
12,2016,11/18/16,ATL,Away,CHO,L,96,100,196,96.3,100.3,99.7,0.202,0.333,0.525,52.7,64.1,9,9.8,0.506,14.9,18.2,0.131,0.467,9.9,83.7,0.178
13,2016,11/20/16,ATL,Away,NYK,L,94,104,198,98,108.5,95.9,0.341,0.247,0.481,49,50,7.3,9.8,0.435,11.7,26.4,0.235,0.534,13.7,75.6,0.114
14,2016,11/22/16,ATL,Home,NOP,L,94,112,206,98.4,117.3,95.5,0.118,0.341,0.526,50,56.4,5.2,9.8,0.518,14.4,14.6,0.071,0.587,9,87.2,0.128
15,2016,11/23/16,ATL,Away,IND,W,96,85,181,98.3,87,97.6,0.259,0.235,0.507,60.2,47.2,11.3,12.3,0.453,18.2,36.2,0.224,0.446,16.6,84.8,0.119
16,2016,11/25/16,ATL,Away,UTA,L,68,95,163,72.4,101.1,93.9,0.145,0.301,0.385,42.1,42.3,8.5,8.7,0.361,13.7,11.5,0.096,0.5,15.4,79.1,0.188
17,2016,11/27/16,ATL,Away,LAL,L,94,109,203,99.3,115.1,94.7,0.114,0.398,0.509,41.8,64.1,5.3,8,0.511,11.5,15.6,0.045,0.484,8,67.4,0.179
